institution,vertical,segment,country,priority,channel,email,contact_page,note,fit,checked_on,status
The Network Firm,audit_firm,"crypto audit, attestation and proof-of-reserves firm",US,1,form,,https://www.thenetworkfirm.com/financial-statement-audit-services,Crypto audit and proof-of-reserves firm; books meetings from the audit services page,Auditors of digital asset companies must support fair-value marks in the principal market. Fillable-depth evidence is audit evidence. A referral channel as much as a buyer.,2026-09-24,verify_before_send
Euro Exim Bank,compliance_function,trade finance bank,LC,1,compliance,complianceteam@euroeximbank.com,https://euroeximbank.com/contact,,"Early XRP adopter in trade finance settlement. Small institution, reachable leadership, genuine XRPL exposure.",2026-09-24,verify_before_send
Uphold,compliance_function,multi-asset exchange,US,1,compliance,compliance@uphold.com,https://uphold.com/en-us/resources/contact-us,Uphold Enterprise also has a contact route: https://support.uphold.com/hc/en-us/articles/18220262461851-Get-in-touch-with-Uphold-Enterprise,Unusually deep XRP flow and a mid-size compliance org that can still move. One of the better priority-1 exchange bets.,2026-09-24,verify_before_send
Zand Bank,compliance_function,UAE digital bank,AE,1,form,,https://www.zand.ae/en/help-centre/contact-us,Published addresses are retail customer service and press only; not a sales channel,"Digital-first bank with declared XRPL involvement. Small enough to reach a decision-maker, regulated enough to care about the answer.",2026-09-24,verify_before_send
Banco Rendimento,payments_corridor,Brazilian FX and remittance bank,BR,1,form,,https://www.rendimento.com.br/en/atendimento/,ouvidoria@ is the complaints ombudsman; never pitch there,Brazilian corridor bank with XRPL settlement history. Portuguese-language outreach materially improves your odds.,2026-09-24,verify_before_send
Novatti Group,payments_corridor,listed payments provider,AU,1,investor_relations,investorrelations@novatti.com,https://www.novatti.com/contact-us,IR inbox; forwards to management at best,Australian listed payments firm with XRPL settlement and its own stablecoin ambitions - both halves of your product apply.,2026-09-24,verify_before_send
Pyypl,payments_corridor,MENA digital payments,AE,1,form,,https://www.pyypl.com/business,care@pyypl.com is consumer support; use the business sales form,"Ripple-partnered MENA payments. Small, fast, and settlement integrity is core to the business.",2026-09-24,verify_before_send
SBI Remit,payments_corridor,remittance (SBI group),JP,1,form,,https://www.remit.co.jp/en/contact/,support@remit.co.jp is customer support; use the enquiries page,Runs XRP-based remittance corridors. The most operationally XRPL-dependent name in the SBI group and an easier door than SBI Holdings.,2026-09-24,verify_before_send
Tranglo,payments_corridor,cross-border payments (Ripple stake),MY,1,form,,https://tranglo.com/contact-us/,No published email; use the form,"Settlement over XRPL corridors at volume. Delivered-versus-requested value is a live reconciliation problem for them, not a hypothetical.",2026-09-24,verify_before_send
Travelex Bank,payments_corridor,"FX bank, Brazil",BR,1,form,,https://www.travelexbank.com.br/,No published email; site form or WhatsApp,"Brazilian FX bank using XRPL corridors. Same reconciliation pain as Tranglo, smaller organisation.",2026-09-24,verify_before_send
Unicambio,payments_corridor,FX and remittance,PT,1,business,comercial.corporate@unicambio.pt,https://www.unicambio.pt/en/contacts/,Corporate sales desk,Portugal-Brazil corridor operator with Ripple history. Small and reachable.,2026-09-24,verify_before_send
Archax,regulated_institution,FCA-regulated digital securities exchange,GB,1,general,info@archax.com,https://archax.com/contact-us,FCA-regulated; general inbox published for client assistance,Regulated venue that has actually issued and listed tokenized RWAs on XRPL. Sits precisely at the intersection of regulated markets and XRPL mechanics - the best-qualified regulated name on your entire list.,2026-09-24,verify_before_send
Defiance ETFs,regulated_institution,thematic and leveraged ETF issuer,US,1,general,info@defianceetfs.com,https://www.defianceetfs.com/contact-us/,,"Small issuer, fast decisions, leveraged XRP exposure. Same acute need as Teucrium.",2026-09-24,verify_before_send
Teucrium,regulated_institution,leveraged XRP ETF issuer,US,1,form,,https://teucrium.com/contact-us,Phone 720-651-8092 published on fund materials,"A leveraged XRP product magnifies exactly the liquidity error you measure. Small issuer, reachable leadership, unusually acute need.",2026-09-24,verify_before_send
Braza Group (Braza Bank),token_issuer,"Brazilian FX bank, BBRL/USDB stablecoin issuer on XRPL",BR,1,form,,https://www.brazabank.com.br/fale-com-um-especialista,"Issues BBRL and USDB on XRPL. ""Talk to a specialist"" form; ajuda@ is customer support",Issues fiat stablecoins on XRPL. Issuer compliance scoring and depth checks on its own books are directly relevant to its reserve and market-quality disclosures.,2026-09-24,verify_before_send
Ctrl Alt,token_issuer,tokenization infrastructure,AE,1,general,info@ctrl-alt.co,https://www.ctrl-alt.co/contact,Address printed in its own press releases,"Infrastructure behind Dubai Land Department's property tokenization on XRPL. A live, named XRPL issuance with a government counterparty watching.",2026-09-24,verify_before_send
GateHub,token_issuer,XRPL gateway issuing USD/EUR IOUs,GB,1,website,,https://support.gatehub.net/hc/en-us,XRPL gateway (USD/EUR IOUs). Only a support portal is published,"One of the longest-running XRPL issuers; NOSHASHI's published depth findings measure GateHub books, so the finding is about them.",2026-09-24,verify_before_send
